AddressID;AddressLine1;AddressLine2;City;StateProvinceID;PostalCode;SpatialLocation;rowguid;ModifiedDate
1;1970 Napa Ct.;;Bothell;79;98011;POINT (-122.164644615406 47.7869921906598);{9AADCB0D-36CF-483F-84D8-585C2D4EC6E9};2007-12-04 00:00:00
2;9833 Mt. Dias Blv.;;Bothell;79;98011;POINT (-122.250185528911 47.6867097047995);{32A54B9E-E034-4BFB-B573-A71CDE60D8C0};2008-11-30 00:00:00
3;7484 Roundtree Drive;;Bothell;79;98011;POINT (-122.274625789912 47.7631154083121);{4C506923-6D1B-452C-A07C-BAA6F5B142A4};2013-03-07 00:00:00
4;9539 Glenside Dr;;Bothell;79;98011;POINT (-122.335726442416 47.7392386259644);{E5946C78-4BCC-477F-9FA1-CC09DE16A880};2009-02-03 00:00:00
5;1226 Shoe St.;;Bothell;79;98011;POINT (-122.091323832402 47.7010357742081);{FBAFF937-4A97-4AF0-81FD-B849900E9BB0};2008-12-19 00:00:00
6;1399 Firestone Drive;;Bothell;79;98011;POINT (-122.360166703417 47.7058111306776);{FEBF8191-9804-44C8-877A-33FDE94F0075};2009-02-13 00:00:00
7;5672 Hale Dr.;;Bothell;79;98011;POINT (-122.335726442416 47.7631154083121);{0175A174-6C34-4D41-B3C1-4419CD6A0446};2009-12-11 00:00:00
8;6387 Scenic Avenue;;Bothell;79;98011;POINT (-122.372386833918 47.7440139824339);{3715E813-4DCA-49E0-8F1C-31857D21F269};2008-12-17 00:00:00
9;8713 Yosemite Ct.;;Bothell;79;98011;POINT (-122.189084876407 47.7201372000862);{268AF621-76D7-4C78-9441-144FD139821A};2012-05-30 00:00:00
10;250 Race Court;;Bothell;79;98011;POINT (-122.042443310399 47.7822168341902);{0B6B739D-8EB6-4378-8D55-FE196AF34C04};2008-12-02 00:00:00
11;1318 Lasalle Street;;Bothell;79;98011;POINT (-122.225745267909 47.8251950424161);{981B3303-ACA2-49C7-9A96-FB670785B269};2013-02-28 00:00:00
12;5415 San Gabriel Dr.;;Bothell;79;98011;POINT (-122.335726442416 47.7201372000862);{1C2C9CFE-AB9F-4F96-8E1F-D9666B6F7F22};2013-01-05 00:00:00
13;9265 La Paz;;Bothell;79;98011;POINT (-122.0546634409 47.815644329477);{E0BA2F52-C907-4553-A0DB-67FC67D28AE4};2013-12-14 00:00:00
14;8157 W. Book;;Bothell;79;98011;POINT (-122.164644615406 47.7822168341902);{A1C658AE-C553-4A9D-A081-A550D39B64DF};2009-12-04 00:00:00
15;4912 La Vuelta;;Bothell;79;98011;POINT (-122.323506311915 47.7822168341902);{F397E64A-A9D8-4E57-9E7C-B10928ACADD6};2013-11-18 00:00:00
16;40 Ellis St.;;Bothell;79;98011;POINT (-122.164644615406 47.7249125565558);{0312B65F-CB60-4396-9EC7-A78B2EAC1A1B};2012-11-09 00:00:00
