id_orden; num_revision; fecha_pedido; fecha_vencimiento; fecha_envio; estado; es_pedido_online; folio_pedido; orden_compra_cliente; numero_cuenta; id_cliente; id_vendedor; id_territorio; id_direccion_facturacion; id_direccion_envio; id_metodo_envio; id_tarjeta_credito; codigo_autorizacion_tc; id_tasa_cambio; sub_total; impuestos; flete; total_neto; observaciones; guid_fila; fecha_modificacion
43659;8;2011-05-31 00:00:00;2011-06-12 00:00:00;2011-06-07 00:00:00;5;False;SO43659;PO522145787;10-4020-000676;29825;279;5;985;985;5;16281;105041Vi84182;;20565.6206;1971.5149;616.0984;23153.2339;;{79B65321-39CA-4115-9CBA-8FE0903E12E6};2011-06-07 00:00:00
43660;8;2011-05-31 00:00:00;2011-06-12 00:00:00;2011-06-07 00:00:00;5;False;SO43660;PO18850127500;10-4020-000117;29672;279;5;921;921;5;5618;115213Vi29411;;1294.2529;124.2483;38.8276;1457.3288;;{738DC42D-D03B-48A1-9822-F95A67EA7389};2011-06-07 00:00:00
43661;8;2011-05-31 00:00:00;2011-06-12 00:00:00;2011-06-07 00:00:00;5;False;SO43661;PO18473189620;10-4020-000442;29734;282;6;517;517;5;1346;85274Vi6854;4;32726.4786;3153.7696;985.553;36865.8012;;{D91B9131-18A4-4A11-BC3A-90B6F53E9D74};2011-06-07 00:00:00
43662;8;2011-05-31 00:00:00;2011-06-12 00:00:00;2011-06-07 00:00:00;5;False;SO43662;PO18444174044;10-4020-000227;29994;282;6;482;482;5;10456;125295Vi53935;4;28832.5289;2775.1646;867.2389;32474.9324;;{4A1ECFC0-CC3A-4740-B028-1C50BB48711C};2011-06-07 00:00:00
43663;8;2011-05-31 00:00:00;2011-06-12 00:00:00;2011-06-07 00:00:00;5;False;SO43663;PO18009186470;10-4020-000510;29565;276;4;1073;1073;5;4322;45303Vi22691;;419.4589;40.2681;12.5838;472.3108;;{9B1E7A40-6AE0-4AD3-811C-A64951857C4B};2011-06-07 00:00:00
43664;8;2011-05-31 00:00:00;2011-06-12 00:00:00;2011-06-07 00:00:00;5;False;SO43664;PO16617121983;10-4020-000397;29898;280;1;876;876;5;806;95555Vi4081;;24432.6088;2344.9921;732.81;27510.4109;;{22A8A5DA-8C22-42AD-9241-839489B6EF0D};2011-06-07 00:00:00
43665;8;2011-05-31 00:00:00;2011-06-12 00:00:00;2011-06-07 00:00:00;5;False;SO43665;PO16588191572;10-4020-000146;29580;283;1;849;849;5;15232;35568Vi78804;;14352.7713;1375.9427;429.9821;16158.6961;;{5602C304-853C-43D7-9E79-76E320D476CF};2011-06-07 00:00:00
43666;8;2011-05-31 00:00:00;2011-06-12 00:00:00;2011-06-07 00:00:00;5;False;SO43666;PO16008173883;10-4020-000511;30052;276;4;1074;1074;5;13349;105623Vi69217;;5056.4896;486.3747;151.9921;5694.8564;;{E2A90057-1366-4487-8A7E-8085845FF770};2011-06-07 00:00:00
43667;8;2011-05-31 00:00:00;2011-06-12 00:00:00;2011-06-07 00:00:00;5;False;SO43667;PO15428132599;10-4020-000646;29974;277;3;629;629;5;10370;55680Vi53503;;6107.082;586.1203;183.1626;6876.3649;;{86D5237D-432D-4B21-8ABC-671942F5789D};2011-06-07 00:00:00
43668;8;2011-05-31 00:00:00;2011-06-12 00:00:00;2011-06-07 00:00:00;5;False;SO43668;PO14732180295;10-4020-000514;29614;282;6;529;529;5;1566;85817Vi8045;4;35944.1562;3461.7654;1081.8017;40487.7233;;{281CC355-D538-494E-9B44-461B36A826C6};2011-06-07 00:00:00
43669;8;2011-05-31 00:00:00;2011-06-12 00:00:00;2011-06-07 00:00:00;5;False;SO43669;PO14123169936;10-4020-000578;29747;283;1;895;895;5;15538;25877Vi80261;;714.7043;70.5175;22.0367;807.2585;;{FABFC5C2-E034-4E0E-A573-6F39E9FA0484};2011-06-07 00:00:00
43670;8;2011-05-31 00:00:00;2011-06-12 00:00:00;2011-06-07 00:00:00;5;False;SO43670;PO14384116310;10-4020-000504;29566;275;3;810;810;5;18017;105888Vi93490;;6122.082;587.5603;183.6126;6893.2549;;{573E52A7-573F-40B6-B695-6F3D242E0C6D};2011-06-07 00:00:00
43671;8;2011-05-31 00:00:00;2011-06-12 00:00:00;2011-06-07 00:00:00;5;False;SO43671;PO13978119376;10-4020-000200;29890;283;1;855;855;5;13693;25904Vi70960;;8128.7876;780.8136;244.0042;9153.6054;;{005FDA9D-62E1-4001-A4AC-A976A7905F94};2011-06-07 00:00:00
43672;8;2011-05-31 00:00:00;2011-06-12 00:00:00;2011-06-07 00:00:00;5;False;SO43672;PO13862153537;10-4020-000119;30067;282;6;464;464;5;3980;95915Vi20982;4;6124.182;587.6023;183.6257;6895.41;;{194202AA-8E15-4932-A2C4-7A7AC0713639};2011-06-07 00:00:00
43673;8;2011-05-31 00:00:00;2011-06-12 00:00:00;2011-06-07 00:00:00;5;False;SO43673;PO13775141242;10-4020-000618;29844;275;2;821;821;5;1417;35931Vi7271;;3746.2015;357.9614;111.8629;4216.0258;;{C5CD3AE9-41F5-4B71-A3F1-D550B928572B};2011-06-07 00:00:00
43674;8;2011-05-31 00:00:00;2011-06-12 00:00:00;2011-06-07 00:00:00;5;False;SO43674;PO12760141756;10-4020-000083;29596;282;6;458;458;5;19204;26081Vi99806;4;2624.382;251.9407;78.7315;2955.0542;;{CE8BCA02-F705-4AAE-A446-5D8B660C3A1B};2011-06-07 00:00:00
